,Live,time_group,LIX,Nyhedsbureau,LIX_Headline,Category_Business,Category_Krimi,Category_Politik,Category_Samfund,Category_Sport,Category_Udland,Category_Underholdning,Category_Vejr,IsBoy
271,0,3,45.87071651090342,1,49.85714285714285,0,0,0,0,0,1,0,0,0
272,0,3,41.10201745600229,1,58.0,0,0,1,0,0,0,0,0,0
273,0,3,39.29904801529516,0,28.5,0,0,0,1,0,0,0,0,1
274,0,3,46.29647219706909,0,53.44444444444444,0,0,0,0,0,1,0,0,1
275,0,3,47.85643564356435,1,72.66666666666667,0,0,1,0,0,0,0,0,0
276,0,3,43.34210526315789,0,56.0,0,0,0,0,0,1,0,0,1
277,0,3,55.7112284602557,0,64.14285714285714,0,0,0,0,0,1,0,0,0
278,0,3,32.148133535660094,0,35.42857142857143,0,0,0,1,0,0,0,0,1
279,0,2,40.833333333333336,0,45.0,0,0,1,0,0,0,0,0,0
280,0,2,45.66829268292683,0,40.0,0,0,0,1,0,0,0,0,0
281,0,2,35.74692780337942,0,42.333333333333336,0,0,0,1,0,0,0,0,1
282,0,2,42.37963887720774,0,45.333333333333336,0,0,0,1,0,0,0,0,1
283,0,2,40.97506691083251,1,75.66666666666667,0,0,0,0,0,1,0,0,0
284,0,2,48.79394895325495,1,53.44444444444444,1,0,0,0,0,0,0,0,0
285,0,2,46.612076215887015,0,50.0,0,0,0,1,0,0,0,0,1
286,0,1,36.37130655586334,1,45.5,1,0,0,0,0,0,0,0,0
288,0,1,47.5368492224476,1,89.33333333333333,0,0,0,1,0,0,0,0,0
289,0,1,36.59578544061303,1,20.090909090909093,0,1,0,0,0,0,0,0,0
290,0,1,45.36455047318612,1,45.5,0,0,0,0,0,1,0,0,0
291,0,1,41.84448222337201,0,49.85714285714285,0,0,0,1,0,0,0,0,1
292,0,3,30.657251908396944,0,36.07692307692308,0,0,0,0,0,0,0,0,0
293,0,3,49.25040511727079,0,60.0,0,0,0,1,0,0,0,0,0
294,0,3,44.57792792792793,1,64.14285714285714,0,0,0,0,0,1,0,0,0
295,0,3,33.96376811594203,0,39.333333333333336,0,0,0,1,0,0,0,0,1
296,0,3,42.825,1,20.5,0,0,0,0,0,1,0,0,0
297,0,3,39.717440179861896,0,42.57142857142857,0,0,1,0,0,0,0,0,1
298,0,3,39.25753424657534,0,21.285714285714285,0,0,0,1,0,0,0,0,1
299,0,3,44.42195466551999,0,80.0,0,0,0,1,0,0,0,0,0
300,0,3,51.90243902439025,1,42.333333333333336,0,0,0,0,0,1,0,0,0
301,0,3,42.57735742518352,0,49.85714285714285,0,0,0,1,0,0,0,0,1
302,0,3,45.95206011920187,0,51.46153846153846,0,0,0,0,0,1,0,0,1
303,0,3,48.74304754581571,0,45.333333333333336,0,0,0,1,0,0,0,0,0
304,0,3,36.77576429980276,0,41.66666666666667,0,0,0,1,0,0,0,0,1
305,0,2,44.50711831124202,1,31.22222222222222,0,0,0,0,0,1,0,0,0
306,0,2,44.83658298805752,0,38.27272727272727,0,0,0,1,0,0,0,0,1
307,0,2,48.151359084406295,1,89.33333333333333,0,0,1,0,0,0,0,0,0
308,0,2,44.34087054833239,0,56.85714285714285,0,0,0,1,0,0,0,0,1
309,0,2,49.604407713498624,0,20.5,0,1,0,0,0,0,0,0,1
310,0,2,44.44291961996682,0,45.333333333333336,0,0,0,1,0,0,0,0,1
311,0,2,41.55273833671399,0,47.36363636363637,0,0,0,1,0,0,0,0,0
312,0,2,43.02361673414305,1,33.0,0,0,0,0,0,1,0,0,0
313,0,2,43.4079271019678,0,56.45454545454545,0,0,0,0,0,1,0,0,1
314,0,2,33.45887445887446,1,45.5,0,0,0,0,0,1,0,0,0
315,0,2,39.767771897052725,0,56.45454545454545,0,0,0,1,0,0,0,0,1
316,0,2,40.88002658690595,0,40.0,0,1,0,0,0,0,0,0,1
317,0,2,37.5020458367849,0,37.0,0,0,0,1,0,0,0,0,1
318,0,2,47.330418190491336,1,58.0,0,0,0,0,0,1,0,0,0
319,0,1,50.581337737407104,0,40.0,0,0,0,0,0,0,0,0,1
320,0,1,48.90576271186441,0,45.5,0,1,0,0,0,0,0,0,0
321,0,1,41.88934426229508,1,58.0,0,1,0,0,0,0,0,0,0
322,0,1,41.0230607966457,1,29.181818181818183,0,1,0,0,0,0,0,0,0
323,0,1,42.675438596491226,1,45.0,0,0,0,1,0,0,0,0,0
325,0,1,44.61858974358975,1,53.44444444444444,0,0,0,1,0,0,0,0,0
326,0,1,43.13419402792141,0,56.0,0,0,0,1,0,0,0,0,0
327,0,3,45.168809119573126,0,47.36363636363637,0,0,0,0,0,1,0,0,0
328,0,3,44.61858974358975,1,56.0,0,0,0,1,0,0,0,0,0
329,0,3,43.62882882882883,1,42.333333333333336,0,0,1,0,0,0,0,0,0
330,0,3,36.63275456380404,0,40.52941176470589,0,0,0,1,0,0,0,0,1
331,0,3,41.778127383676576,0,47.36363636363637,0,0,0,0,0,1,0,0,0
332,0,3,41.95776347546259,0,47.36363636363637,0,0,0,0,0,1,0,0,0
333,0,3,47.068829891838746,0,31.22222222222222,0,1,0,0,0,0,0,0,0
334,0,3,35.23545861297539,1,33.0,0,0,0,0,0,1,0,0,0
335,0,3,35.44263669388643,0,53.66666666666666,0,0,0,1,0,0,0,0,1
336,0,3,42.97164621244181,1,42.333333333333336,0,0,0,1,0,0,0,0,0
337,0,3,43.97071035798452,0,50.0,0,0,0,0,0,1,0,0,0
338,0,3,49.46103896103896,0,21.285714285714285,0,0,0,1,0,0,0,0,0
339,0,3,51.62909958258796,1,39.333333333333336,0,0,0,0,0,1,0,0,0
340,0,3,39.72527472527473,1,85.0,0,0,0,1,0,0,0,0,0
341,0,2,42.44358407079646,1,56.0,0,1,0,0,0,0,0,0,0
342,0,2,50.49758454106281,0,31.22222222222222,0,0,0,1,0,0,0,0,0
343,0,2,46.830470272904485,0,64.55555555555556,0,0,0,0,0,1,0,0,0
344,0,2,49.51897122485357,0,64.55555555555556,0,0,0,0,0,1,0,0,1
345,0,2,42.86634557495485,1,50.0,0,1,0,0,0,0,0,0,0
346,0,2,41.46056234555533,0,50.0,0,0,0,0,0,1,0,0,1
347,0,2,43.21452702702703,0,53.44444444444444,0,0,0,1,0,0,0,0,0
348,0,2,33.31844912472648,0,29.11111111111111,0,0,0,1,0,0,0,0,1
349,0,2,40.46763754045308,0,42.333333333333336,0,0,0,1,0,0,0,0,0
350,0,1,62.09662447257384,1,58.0,0,0,0,0,0,1,0,0,0
351,0,1,45.40372670807453,0,36.07692307692308,0,0,0,0,0,1,0,0,0
352,0,1,37.28687047051466,0,51.46153846153846,0,0,0,1,0,0,0,0,1
353,0,1,44.80512587200485,0,35.42857142857143,0,0,0,1,0,0,0,0,1
354,0,1,42.66489971346705,1,42.333333333333336,0,0,0,0,0,1,0,0,0
355,0,1,39.735841423948216,1,29.181818181818183,0,0,0,0,0,1,0,0,0
